seed,scene_index,scene_name,method,success,terminal_error,min_dist,arrival_time_success,control_energy,update_count,accepted_update_count,confidence,alpha,pred_gain,recent_gain,norm_id_error,nnz_model
125,1,S1 Slippery-surface avoidance,sindy,1,0.27703147680455237,1.3529312646013187,12.3,14.935046321790077,22,13,0.9041725666607293,0.36974865952632463,0.9889116867325043,0.9864834543386322,0.007466257719720646,13
125,1,S1 Slippery-surface avoidance,standard,1,0.28475266834035184,1.2961842707637234,12.200000000000001,14.580148098189268,0,0,,,,,,0
125,1,S1 Slippery-surface avoidance,rls,1,0.28475266834035184,1.2961842707637234,12.200000000000001,14.580148098189268,108,108,,0.2,,,,0
125,2,S2 One-sided mud pit (benchmark),sindy,1,0.27628813162566945,0.35237080630709183,10.4,11.894529183909833,18,4,0.8672095215270624,0.2548010284258952,0.9673782040579201,0.9672386902174179,0.03435433988510024,14
125,2,S2 One-sided mud pit (benchmark),standard,1,0.262234887500604,0.34219691570889743,10.5,11.598204007484558,0,0,,,,,,0
125,2,S2 One-sided mud pit (benchmark),rls,1,0.2702625722381233,0.35200914833472174,10.4,11.638826646984525,90,90,,0.2,,,,0
125,3,S3 One-sided mud pit (stress),sindy,1,0.2866675192593266,0.450499232169558,14.4,17.378417731474826,26,2,0.8626059770720124,0.16301683764741837,0.970766986899281,0.9741207936947304,0.04535739235747672,13
125,3,S3 One-sided mud pit (stress),standard,0,0.29279963652728463,0.3729593847452828,,16.66302412815422,0,0,,,,,,0
125,3,S3 One-sided mud pit (stress),rls,0,0.29442944292902545,0.37165118060093894,,16.58759855709738,135,135,,0.2,,,,0
125,4,S4 Emergency avoidance with moving obstacle,sindy,1,0.2586466640196261,0.43206337408450124,9.600000000000001,11.355841846991655,17,10,0.8900043256726927,0.35764411716340816,0.9388294491524825,0.9556994075877547,0.00816079420929184,15
125,4,S4 Emergency avoidance with moving obstacle,standard,1,0.2553919904198233,0.43365423469001496,9.5,11.31130769283139,0,0,,,,,,0
125,4,S4 Emergency avoidance with moving obstacle,rls,1,0.26016501164291317,0.4212955706369418,9.600000000000001,11.222884401056014,82,82,,0.2,,,,0
125,5,S5 Continuously varying terrain,sindy,1,0.26321862232376503,0.6931365116835181,10.3,12.303184969312333,18,6,0.9035213366753219,0.3096852707344584,0.9756332065566208,0.973855769782578,0.008007790783659582,13
125,5,S5 Continuously varying terrain,standard,1,0.26603675452666686,0.6478036090944683,10.3,12.230604680427943,0,0,,,,,,0
125,5,S5 Continuously varying terrain,rls,1,0.26603675452666686,0.6478036090944683,10.3,12.230604680427943,89,89,,0.2,,,,0
125,6,S6 High-mismatch asymmetric mud stress,sindy,1,0.30071966332268985,0.448539716062022,16.400000000000002,19.38175645634584,30,7,0.887235542317883,0.3238262045261315,0.9832578443288231,0.984364302370015,0.010481484165190201,15
125,6,S6 High-mismatch asymmetric mud stress,standard,1,0.3001643211950343,0.38725995550008807,16.8,18.613236440580348,0,0,,,,,,0
125,6,S6 High-mismatch asymmetric mud stress,rls,1,0.29688342758022723,0.39569246706098765,16.6,18.789997353515954,152,152,,0.2,,,,0
126,1,S1 Slippery-surface avoidance,sindy,1,0.2787320917947291,1.3629488311445426,12.3,14.906482833297753,22,2,0.8793708596150038,0.16459710554089843,0.9884872150887966,0.9849665736071606,0.017224149988221367,15
126,1,S1 Slippery-surface avoidance,standard,1,0.2824452207663368,1.2966847259796457,12.200000000000001,14.579573840363237,0,0,,,,,,0
126,1,S1 Slippery-surface avoidance,rls,1,0.2824452207663368,1.2966847259796457,12.200000000000001,14.579573840363237,108,108,,0.2,,,,0
126,2,S2 One-sided mud pit (benchmark),sindy,1,0.2828473878283343,0.35118085110473435,10.4,11.835679568893687,18,10,0.9242299636983815,0.3576196232633839,0.9490328035252225,0.9406784114719492,0.01303150684804574,9
126,2,S2 One-sided mud pit (benchmark),standard,1,0.2621402970502223,0.34215926468523955,10.5,11.599370706861553,0,0,,,,,,0
126,2,S2 One-sided mud pit (benchmark),rls,1,0.2713988393905371,0.3522142248264949,10.4,11.640119232959549,90,90,,0.2,,,,0
126,3,S3 One-sided mud pit (stress),sindy,1,0.286624403575213,0.4587909045770457,14.4,17.31746096105311,26,2,0.8816051232102377,0.1644671405685516,0.987399672252376,0.9864282287696537,0.015285410293153346,15
126,3,S3 One-sided mud pit (stress),standard,0,0.3084911765887614,0.3783677627183717,,16.659299942853547,0,0,,,,,,0
126,3,S3 One-sided mud pit (stress),rls,0,0.30282338737103964,0.3781603743709198,,16.606361120339923,134,134,,0.2,,,,0
126,4,S4 Emergency avoidance with moving obstacle,sindy,1,0.2540082193849673,0.44551895444268447,9.5,11.429664626823607,17,11,0.8919802819199517,0.3609685733911888,0.8434431936898895,0.7034105264298122,0.012108352084614695,14
126,4,S4 Emergency avoidance with moving obstacle,standard,1,0.25590096935073176,0.434232644110023,9.5,11.31433555835949,0,0,,,,,,0
126,4,S4 Emergency avoidance with moving obstacle,rls,1,0.2607019023518722,0.42138474131726034,9.600000000000001,11.225898151828243,82,82,,0.2,,,,0
126,5,S5 Continuously varying terrain,sindy,1,0.2639819443148727,0.6959189795626289,10.3,12.31839711679927,18,9,0.8771699225525869,0.3487403025518204,0.8513571060473426,0.796129607836702,0.019152524581978084,15
126,5,S5 Continuously varying terrain,standard,1,0.26713333904763953,0.6491749095479937,10.3,12.235216928437769,0,0,,,,,,0
126,5,S5 Continuously varying terrain,rls,1,0.26713333904763953,0.6491749095479937,10.3,12.235216928437769,89,89,,0.2,,,,0
126,6,S6 High-mismatch asymmetric mud stress,sindy,1,0.30555773521264973,0.5189772687959036,16.1,19.47581927378981,30,1,0.8872653693194965,0.09379959531257231,0.983978563565419,0.9836116636803344,0.01615638720131158,14
126,6,S6 High-mismatch asymmetric mud stress,standard,1,0.3039020693400675,0.39558126019415935,16.6,18.774642232682005,0,0,,,,,,0
126,6,S6 High-mismatch asymmetric mud stress,rls,1,0.30132087881671454,0.39846810500154123,16.6,18.788061168575307,152,152,,0.2,,,,0
127,1,S1 Slippery-surface avoidance,sindy,1,0.2798244288359798,1.3830766362593812,12.3,14.890244269694296,22,7,0.8760042307519873,0.32646948518780755,0.9751651316697869,0.9701888844852081,0.020181439724728703,15
127,1,S1 Slippery-surface avoidance,standard,1,0.2836052431673685,1.2991889204747054,12.200000000000001,14.567550388567822,0,0,,,,,,0
127,1,S1 Slippery-surface avoidance,rls,1,0.2836052431673685,1.2991889204747054,12.200000000000001,14.567550388567822,108,108,,0.2,,,,0
127,2,S2 One-sided mud pit (benchmark),sindy,1,0.28017951362990534,0.3558269978968754,10.4,11.83347975497386,18,8,0.8745284018816322,0.34051515105425745,0.8535673295917918,0.7168977648387157,0.027520059684593985,14
127,2,S2 One-sided mud pit (benchmark),standard,1,0.2595597680976154,0.34778323509818737,10.5,11.589403861306513,0,0,,,,,,0
127,2,S2 One-sided mud pit (benchmark),rls,1,0.2684495662464396,0.3571107725794852,10.4,11.630075303542043,90,90,,0.2,,,,0
127,3,S3 One-sided mud pit (stress),sindy,1,0.3063926952066962,0.4490580889482203,14.3,17.338009354584063,26,3,0.8848763507868178,0.21736180533405663,0.9898521492234907,0.9908059110829788,0.012480341811410669,15
127,3,S3 One-sided mud pit (stress),standard,0,0.3037141475776423,0.37621548994352727,,16.59106919977656,0,0,,,,,,0
127,3,S3 One-sided mud pit (stress),rls,0,0.3059542296357974,0.37523752558452633,,16.570082981690103,134,134,,0.2,,,,0
127,4,S4 Emergency avoidance with moving obstacle,sindy,1,0.24786437660922878,0.4379502215369121,9.5,11.43763041076382,17,10,0.8999802806538754,0.36031042292749976,0.9780988995665655,0.9770646406649514,0.005421942816087991,14
127,4,S4 Emergency avoidance with moving obstacle,standard,1,0.2525564631175057,0.436877708421913,9.5,11.309710982164873,0,0,,,,,,0
127,4,S4 Emergency avoidance with moving obstacle,rls,1,0.2569959132837288,0.4241949901675628,9.600000000000001,11.220749219820313,82,82,,0.2,,,,0
127,5,S5 Continuously varying terrain,sindy,1,0.2637997287185934,0.684706220559772,10.3,12.40293783415959,18,9,0.8679207136743498,0.34686840298903254,0.6805188805486204,0.4679953819228435,0.027465923993820113,15
127,5,S5 Continuously varying terrain,standard,1,0.26276485307753417,0.6511442298778836,10.3,12.222553275405085,0,0,,,,,,0
127,5,S5 Continuously varying terrain,rls,1,0.26276485307753417,0.6511442298778836,10.3,12.222553275405085,89,89,,0.2,,,,0
127,6,S6 High-mismatch asymmetric mud stress,sindy,1,0.30000093876035,0.4021753022973938,16.6,18.840216516769356,31,3,0.7199482642412669,0.13735198214165809,0.24863379816037134,0.27777725411680765,0.2547410062672902,15
127,6,S6 High-mismatch asymmetric mud stress,standard,1,0.3063848814478694,0.3890407202545161,16.6,18.717735603133445,0,0,,,,,,0
127,6,S6 High-mismatch asymmetric mud stress,rls,1,0.316145928256063,0.3933070373064484,16.5,18.750765677367806,151,151,,0.2,,,,0
128,1,S1 Slippery-surface avoidance,sindy,1,0.2992476402822076,1.3396859598606041,12.200000000000001,14.929535725213391,22,7,0.8753461444387057,0.32677988501559546,0.9743606773575474,0.9725001719161248,0.02677076638606213,14
128,1,S1 Slippery-surface avoidance,standard,1,0.2823098772526684,1.2987321269353733,12.200000000000001,14.579196087543341,0,0,,,,,,0
128,1,S1 Slippery-surface avoidance,rls,1,0.2823098772526684,1.2987321269353733,12.200000000000001,14.579196087543341,108,108,,0.2,,,,0
128,2,S2 One-sided mud pit (benchmark),sindy,0,0.2859940668828103,0.3324109847695936,,11.694168319263795,19,3,0.8148018647338683,0.21327301110975092,0.8935246735838205,0.9101256139927472,0.08334339706363904,15
128,2,S2 One-sided mud pit (benchmark),standard,1,0.2624398546758702,0.3454284205351352,10.5,11.602643663561066,0,0,,,,,,0
128,2,S2 One-sided mud pit (benchmark),rls,1,0.27123692035324937,0.3544654961522829,10.4,11.643131772071136,90,90,,0.2,,,,0
128,3,S3 One-sided mud pit (stress),sindy,1,0.3089452287657203,0.4234727761420578,14.600000000000001,17.176439059138687,27,2,0.860937146868711,0.16274243451687687,0.9516835540353726,0.9635589879310127,0.0339801421801375,15
128,3,S3 One-sided mud pit (stress),standard,0,0.3032961614273061,0.3756247902408446,,16.6021250378647,0,0,,,,,,0
128,3,S3 One-sided mud pit (stress),rls,0,0.2900727257362464,0.3760614462382593,,16.65242131637221,134,134,,0.2,,,,0
128,4,S4 Emergency avoidance with moving obstacle,sindy,1,0.25398042337500026,0.4560870593790927,9.5,11.429649348233111,17,10,0.891484308094301,0.35743081133770693,0.9703389242186318,0.9735874262397222,0.012530339776436762,14
128,4,S4 Emergency avoidance with moving obstacle,standard,1,0.25692517200383386,0.4357830191842915,9.5,11.316734129154476,0,0,,,,,,0
128,4,S4 Emergency avoidance with moving obstacle,rls,1,0.2614909177085132,0.4226272610562301,9.600000000000001,11.228721550609734,82,82,,0.2,,,,0
128,5,S5 Continuously varying terrain,sindy,1,0.26311160607735357,0.6876722747289987,10.3,12.304924879834466,18,5,0.9229113087791794,0.29065416254375903,0.9633474271533286,0.9587578513218613,0.008516395605065636,10
128,5,S5 Continuously varying terrain,standard,1,0.26688080666609915,0.6508357353226494,10.3,12.233500753514717,0,0,,,,,,0
128,5,S5 Continuously varying terrain,rls,1,0.26688080666609915,0.6508357353226494,10.3,12.233500753514717,89,89,,0.2,,,,0
128,6,S6 High-mismatch asymmetric mud stress,sindy,1,0.30284467368158013,0.4989235354065293,16.1,19.518379303854477,30,2,0.8686434492478331,0.16290505332139021,0.9791112523437023,0.97378765519592,0.026803720088748546,15
128,6,S6 High-mismatch asymmetric mud stress,standard,1,0.3005734596287388,0.3931238300764302,16.6,18.752607218716296,0,0,,,,,,0
128,6,S6 High-mismatch asymmetric mud stress,rls,1,0.3152768164949664,0.39607004589360706,16.5,18.760366255298567,151,151,,0.2,,,,0
129,1,S1 Slippery-surface avoidance,sindy,1,0.2968759715048828,1.3538458934921425,12.200000000000001,14.91250052271131,22,5,0.8818530129749096,0.2865198907319267,0.9928872359541956,0.9933563978902921,0.01507146234924487,15
129,1,S1 Slippery-surface avoidance,standard,1,0.2819759592574834,1.2949685310419836,12.200000000000001,14.567309832515035,0,0,,,,,,0
129,1,S1 Slippery-surface avoidance,rls,1,0.2819759592574834,1.2949685310419836,12.200000000000001,14.567309832515035,108,108,,0.2,,,,0
129,2,S2 One-sided mud pit (benchmark),sindy,1,0.28182757315596385,0.3508290858083311,10.4,11.827230348999436,18,6,0.8892709486800512,0.30838919570078294,0.9596448111491892,0.9541846520185799,0.01442445372065221,14
129,2,S2 One-sided mud pit (benchmark),standard,1,0.2663456661770114,0.34018071581532305,10.5,11.564338269003839,0,0,,,,,,0
129,2,S2 One-sided mud pit (benchmark),rls,1,0.2704865803946074,0.34970957127592334,10.4,11.629145383394576,90,90,,0.2,,,,0
129,3,S3 One-sided mud pit (stress),sindy,1,0.28949703657517395,0.4049032266463235,14.600000000000001,17.20680928253665,27,8,0.8647367406036366,0.3351238880959307,0.9350910296677659,0.9266280639276897,0.030409620461946903,15
129,3,S3 One-sided mud pit (stress),standard,0,0.285942944312041,0.3741802582116293,,16.657665751111665,0,0,,,,,,0
